epoch,train,valid
0,0.010514,0.010468
1,0.010395,0.010360
2,0.010298,0.010265
3,0.010156,0.010131
4,0.009949,0.009917
5,0.009713,0.009708
6,0.009463,0.009456
7,0.009139,0.009170
8,0.008800,0.008866
9,0.008406,0.008457
10,0.008042,0.008110
11,0.007759,0.007843
12,0.007549,0.007638
13,0.007378,0.007487
14,0.007233,0.007357
15,0.007127,0.007235
16,0.007020,0.007134
17,0.006923,0.007043
18,0.006835,0.006956
19,0.006763,0.006885
20,0.006691,0.006814
21,0.006613,0.006745
22,0.006540,0.006669
23,0.006459,0.006609
24,0.006394,0.006542
25,0.006345,0.006485
26,0.006292,0.006437
27,0.006237,0.006388
28,0.006179,0.006335
29,0.006133,0.006279
30,0.006057,0.006220
31,0.005987,0.006140
32,0.005888,0.006050
33,0.005793,0.005955
34,0.005681,0.005859
35,0.005595,0.005759
36,0.005509,0.005675
37,0.005439,0.005606
38,0.005377,0.005533
39,0.005312,0.005472
40,0.005263,0.005415
41,0.005211,0.005367
42,0.005162,0.005323
43,0.005125,0.005292
44,0.005088,0.005245
45,0.005043,0.005201
46,0.005007,0.005166
47,0.004977,0.005128
48,0.004933,0.005090
49,0.004901,0.005052
50,0.004863,0.005021
51,0.004829,0.004978
52,0.004786,0.004946
53,0.004755,0.004914
54,0.004733,0.004888
55,0.004706,0.004852
56,0.004665,0.004824
57,0.004643,0.004790
58,0.004615,0.004767
59,0.004587,0.004752
60,0.004569,0.004726
61,0.004538,0.004697
62,0.004518,0.004681
63,0.004492,0.004653
64,0.004469,0.004633
65,0.004450,0.004614
66,0.004444,0.004607
67,0.004488,0.004665
68,0.004443,0.004596
69,0.004465,0.004576
70,0.004402,0.004566
71,0.004387,0.004558
72,0.004366,0.004533
73,0.004359,0.004530
74,0.004344,0.004503
75,0.004320,0.004483
76,0.004320,0.004484
77,0.004292,0.004456
78,0.004290,0.004440
79,0.004271,0.004436
80,0.004289,0.004437
81,0.004232,0.004383
82,0.004212,0.004380
83,0.004199,0.004385
84,0.004192,0.004392
85,0.004186,0.004346
86,0.004197,0.004323
87,0.004177,0.004329
88,0.004157,0.004301
89,0.004157,0.004289
90,0.004132,0.004279
91,0.004141,0.004323
92,0.004115,0.004281
93,0.004111,0.004282
94,0.004106,0.004284
95,0.004096,0.004276
